"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 2021  To:  Dec 31, 2022",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
2059,Gatlyn ,1,Boy,2021
2059,Gavie ,1,Boy,2021
2059,Gavinbir ,1,Boy,2021
2059,Gavith ,1,Boy,2021
2059,Gavy ,1,Boy,2021
2059,Gawyn ,1,Boy,2021
2059,Gaysay ,1,Boy,2021
2059,Gearoid,1,Boy,2021
2059,Gebriel,1,Boy,2021
2059,Genesys ,1,Boy,2021
2059,Geno ,1,Boy,2021
2059,Gentry ,1,Boy,2021
2059,Geomanuel,1,Boy,2021
2059,Geordi ,1,Boy,2021
2059,Georgie ,1,Boy,2021
2059,Georginio,1,Boy,2021
2059,Gerald ,1,Boy,2021
2059,Gerard ,1,Boy,2021
2059,Gerasimos ,1,Boy,2021
2059,Gerault ,1,Boy,2021
2059,Germain ,1,Boy,2021
2059,Gerson ,1,Boy,2021
2059,Gervontae ,1,Boy,2021
2059,Gervonté ,1,Boy,2021
2059,Ghadi,1,Boy,2021
2059,Ghasan ,1,Boy,2021
2059,Ghayt,1,Boy,2021
2059,Ghim ,1,Boy,2021
2059,Ghreyson-Lane ,1,Boy,2021
2059,Giancarlo ,1,Boy,2021
2059,Giannis ,1,Boy,2021
2059,Gift,1,Boy,2021
2059,Gil ,1,Boy,2021
2059,Gilbert ,1,Boy,2021
2059,Gilleon ,1,Boy,2021
2059,Gilley ,1,Boy,2021
2059,Gillis ,1,Boy,2021
2059,Gino ,1,Boy,2021
2059,Giyelle ,1,Boy,2021
2059,Glainy ,1,Boy,2021
2059,Glen ,1,Boy,2021
2059,Gobind,1,Boy,2021
2059,Godric ,1,Boy,2021
2059,Gohram,1,Boy,2021
2059,Gosife ,1,Boy,2021
2059,Graan,1,Boy,2021
2059,Gracin ,1,Boy,2021
2059,Grae ,1,Boy,2021
2059,Graesyn ,1,Boy,2021
2059,Graezen ,1,Boy,2021
2059,Graydon ,1,Boy,2021
2059,Graylin ,1,Boy,2021
2059,Grayson-Adriel,1,Boy,2021
2059,Greer ,1,Boy,2021
2059,Grenz ,1,Boy,2021
2059,Greyden ,1,Boy,2021
2059,Griffen ,1,Boy,2021
2059,Griz ,1,Boy,2021
2059,Grizzly ,1,Boy,2021
2059,Gryffin ,1,Boy,2021
2059,Gryphon ,1,Boy,2021
2059,Guedy,1,Boy,2021
2059,Gulzaar ,1,Boy,2021
2059,Gunkar,1,Boy,2021
2059,Gunnraj ,1,Boy,2021
2059,Guntaas ,1,Boy,2021
2059,Guot ,1,Boy,2021
2059,Guragam,1,Boy,2021
2059,Guramaanat ,1,Boy,2021
2059,Gurbaz ,1,Boy,2021
2059,Gurbazz,1,Boy,2021
2059,Gurbir ,1,Boy,2021
2059,Gurdaat ,1,Boy,2021
2059,Gurhaar ,1,Boy,2021
2059,Gurjas,1,Boy,2021
2059,Gurkirat ,1,Boy,2021
2059,Gurlal ,1,Boy,2021
2059,Gurlove ,1,Boy,2021
2059,Gurnawaz ,1,Boy,2021
2059,Gurnihal ,1,Boy,2021
2059,Gurnivaj,1,Boy,2021
2059,Gurnivaz,1,Boy,2021
2059,Gurniwaaz ,1,Boy,2021
2059,Gurniwaz ,1,Boy,2021
2059,Gursaaz ,1,Boy,2021
2059,Gursajan ,1,Boy,2021
2059,Gursanj ,1,Boy,2021
2059,Gurshaan ,1,Boy,2021
2059,Gursher ,1,Boy,2021
2059,Gursheraz ,1,Boy,2021
2059,Gursikh ,1,Boy,2021
2059,Gurtaaz ,1,Boy,2021
2059,Gurtej ,1,Boy,2021
2059,Gurvir,1,Boy,2021
2059,Gusaleo ,1,Boy,2021
2059,Gustaf ,1,Boy,2021
2059,Gustavo ,1,Boy,2021
2059,Guthrie ,1,Boy,2021
2059,Gyan ,1,Boy,2021
2059,Haak ,1,Boy,2021
2059,Haani,1,Boy,2021
2059,Haashim ,1,Boy,2021
2059,Haashir,1,Boy,2021
2059,Habban,1,Boy,2021
2059,Haddi,1,Boy,2021
2059,Haddon ,1,Boy,2021
2059,Hadhin,1,Boy,2021
2059,Hadid,1,Boy,2021
2059,Hadji,1,Boy,2021
2059,Haedyn ,1,Boy,2021
2059,Haezlen ,1,Boy,2021
2059,Hailemariam ,1,Boy,2021
2059,Haines ,1,Boy,2021
2059,Haitham,1,Boy,2021
2059,Hakikat ,1,Boy,2021
2059,Halden ,1,Boy,2021
2059,Haleem ,1,Boy,2021
2059,Halsey ,1,Boy,2021
2059,Hamada ,1,Boy,2021
2059,Hammad,1,Boy,2021
2059,Hamsa ,1,Boy,2021
2059,Hamza-Aar ,1,Boy,2021
2059,Hanat,1,Boy,2021
2059,Haniel ,1,Boy,2021
2059,Hanish,1,Boy,2021
2059,Hanley ,1,Boy,2021
2059,Hannz ,1,Boy,2021
2059,Hanzala,1,Boy,2021
2059,Haram ,1,Boy,2021
2059,Harbin ,1,Boy,2021
2059,Hardhik,1,Boy,2021
2059,Hardi ,1,Boy,2021
2059,Hardidar ,1,Boy,2021
2059,Harf,1,Boy,2021
2059,Harfateh ,1,Boy,2021
2059,Hargunn ,1,Boy,2021
2059,Harjas ,1,Boy,2021
2059,Harjass ,1,Boy,2021
2059,Harkomal ,1,Boy,2021
2059,Harlin ,1,Boy,2021
2059,Harmehram,1,Boy,2021
2059,Harneev,1,Boy,2021
2059,Harnoor ,1,Boy,2021
2059,Harold ,1,Boy,2021
2059,Harper,1,Boy,2021
2059,Harroop ,1,Boy,2021
2059,Harsahib ,1,Boy,2021
2059,Harsamrath ,1,Boy,2021
2059,Harsh ,1,Boy,2021
2059,Harshal ,1,Boy,2021
2059,Harshil,1,Boy,2021
2059,Harshjot ,1,Boy,2021
2059,Harsumer ,1,Boy,2021
2059,Harteg ,1,Boy,2021
2059,Hartegh,1,Boy,2021
2059,Hartej ,1,Boy,2021
2059,Hartley ,1,Boy,2021
2059,Haru ,1,Boy,2021
2059,Haruun ,1,Boy,2021
2059,Harveer,1,Boy,2021
2059,Hashi ,1,Boy,2021
2059,Hasib ,1,Boy,2021
2059,Hasni,1,Boy,2021
2059,Hatchett ,1,Boy,2021
2059,Haven ,1,Boy,2021
2059,Havoc ,1,Boy,2021
2059,Hawk ,1,Boy,2021
2059,Hawkin ,1,Boy,2021
2059,Hawksen ,1,Boy,2021
2059,Hawthorne ,1,Boy,2021
2059,Hayaan,1,Boy,2021
2059,Hayan ,1,Boy,2021
2059,Hayana,1,Boy,2021
2059,Haydar,1,Boy,2021
2059,Haydence ,1,Boy,2021
2059,Hayder,1,Boy,2021
2059,Haydin ,1,Boy,2021
2059,Haydn ,1,Boy,2021
2059,Haydon ,1,Boy,2021
2059,Hayse ,1,Boy,2021
2059,Hazem ,1,Boy,2021
2059,Hazrat ,1,Boy,2021
2059,Hbret ,1,Boy,2021
2059,Heavenic ,1,Boy,2021
2059,Heavenjot ,1,Boy,2021
2059,Hebron ,1,Boy,2021
2059,Hedley ,1,Boy,2021
2059,Heimdallr,1,Boy,2021
2059,Hélios,1,Boy,2021
2059,Hemil ,1,Boy,2021
2059,Henderson ,1,Boy,2021
2059,Hendriks ,1,Boy,2021
2059,Henok ,1,Boy,2021
2059,Henryk ,1,Boy,2021
2059,Hermon ,1,Boy,2021
2059,Heston ,1,Boy,2021
2059,Hevaan,1,Boy,2021
2059,Hewitt ,1,Boy,2021
2059,Hexuan,1,Boy,2021
2059,Hiarmon ,1,Boy,2021
2059,Hieronymus ,1,Boy,2021
2059,Hilal,1,Boy,2021
2059,Hilten ,1,Boy,2021
2059,Himansh,1,Boy,2021
2059,Hiraeth ,1,Boy,2021
2059,Hiyan ,1,Boy,2021
2059,Ho,1,Boy,2021
2059,Hobbes ,1,Boy,2021
2059,Hogan ,1,Boy,2021
2059,Hollis ,1,Boy,2021
2059,Holten ,1,Boy,2021
2059,Homayoun,1,Boy,2021
2059,Hongli,1,Boy,2021
2059,Honglie,1,Boy,2021
2059,Hongpei,1,Boy,2021
2059,Hopsin ,1,Boy,2021
2059,Hoss ,1,Boy,2021
2059,Hou ,1,Boy,2021
2059,Hreyansh ,1,Boy,2021
2059,Hridansh ,1,Boy,2021
2059,Hridhaan ,1,Boy,2021
2059,Hryaqos ,1,Boy,2021
2059,Hud ,1,Boy,2021
2059,Hudayfa ,1,Boy,2021
2059,Hudsyn ,1,Boy,2021
2059,Hudsynn ,1,Boy,2021
2059,Humayd ,1,Boy,2021
2059,Humzah,1,Boy,2021
2059,Hunarbir ,1,Boy,2021
2059,Huntley ,1,Boy,2021
2059,Husayd ,1,Boy,2021
2059,Husayn ,1,Boy,2021
2059,Husen ,1,Boy,2021
2059,Huseyin ,1,Boy,2021
2059,Hussin ,1,Boy,2021
2059,Huxen ,1,Boy,2021
2059,Huxlee ,1,Boy,2021
2059,Hyab ,1,Boy,2021
2059,Hyatt ,1,Boy,2021
2059,Hyland ,1,Boy,2021
2059,Hyugo ,1,Boy,2021
2059,Iaan,1,Boy,2021
2059,Iain ,1,Boy,2021
2059,Ian-Zaiden ,1,Boy,2021
2059,Ianos ,1,Boy,2021
2059,Ibukunoluwa ,1,Boy,2021
2059,Idriis ,1,Boy,2021
2059,Ifisa ,1,Boy,2021
2059,Ifran ,1,Boy,2021
2059,Ignac ,1,Boy,2021
2059,Ikajuut ,1,Boy,2021
2059,Ike ,1,Boy,2021
2059,Ikemsinachi ,1,Boy,2021
2059,Ikeson,1,Boy,2021
2059,Iktaj ,1,Boy,2021
2059,Iktan ,1,Boy,2021
2059,Ilan,1,Boy,2021
2059,Ilarion ,1,Boy,2021
2059,Ilerioluwa ,1,Boy,2021
2059,Ilerioluwakiiye ,1,Boy,2021
2059,Ilham ,1,Boy,2021
2059,Ilija,1,Boy,2021
2059,Iliyan ,1,Boy,2021
2059,Illias ,1,Boy,2021
2059,Illya,1,Boy,2021
2059,Imaan ,1,Boy,2021
2059,Iman ,1,Boy,2021
2059,Imanjeet ,1,Boy,2021
2059,Imre ,1,Boy,2021
2059,Imtaj ,1,Boy,2021
2059,Inderjit ,1,Boy,2021
2059,Iñigo ,1,Boy,2021
2059,Iremide ,1,Boy,2021
2059,Iru,1,Boy,2021
2059,Irvin ,1,Boy,2021
2059,Isahak ,1,Boy,2021
2059,Isaias,1,Boy,2021
2059,Isaías ,1,Boy,2021
2059,Isam ,1,Boy,2021
2059,Isen,1,Boy,2021
2059,Isetoluwase ,1,Boy,2021
2059,Ishaaq ,1,Boy,2021
2059,Ishank ,1,Boy,2021
2059,Ishanth ,1,Boy,2021
2059,Isher,1,Boy,2021
2059,Ishmam ,1,Boy,2021
2059,Isiah ,1,Boy,2021
2059,Isidore ,1,Boy,2021
2059,Israelmfashingabo,1,Boy,2021
2059,Itthipat,1,Boy,2021
2059,Ivarson ,1,Boy,2021
2059,Ivie ,1,Boy,2021
2059,Ivjot ,1,Boy,2021
2059,Ivo,1,Boy,2021
2059,Ivor ,1,Boy,2021
2059,Iwinosa ,1,Boy,2021
2059,Iyas,1,Boy,2021
2059,Iyyad ,1,Boy,2021
2059,Izaac ,1,Boy,2021
2059,Izaak ,1,Boy,2021
2059,Izac ,1,Boy,2021
2059,Izahak ,1,Boy,2021
2059,Izaiah ,1,Boy,2021
2059,Izak ,1,Boy,2021
2059,Izik ,1,Boy,2021
2059,Izin,1,Boy,2021
2059,Izmir ,1,Boy,2021
2059,Izumunachi ,1,Boy,2021
2059,Izyan ,1,Boy,2021
2059,Izzy,1,Boy,2021
2059,J'Vaughn ,1,Boy,2021
2059,J. ,1,Boy,2021
2059,Ja'Kyri ,1,Boy,2021
2059,Jaaziel ,1,Boy,2021
2059,Jabbaar ,1,Boy,2021
2059,Jabir ,1,Boy,2021
2059,Jabr ,1,Boy,2021
2059,Jacksyn ,1,Boy,2021
2059,Jacky ,1,Boy,2021
2059,Jacobus ,1,Boy,2021
2059,Jacopo,1,Boy,2021
2059,Jadon ,1,Boy,2021
2059,Jaemin ,1,Boy,2021
2059,Jaevon ,1,Boy,2021
2059,Jafar,1,Boy,2021
2059,Jagmeet,1,Boy,2021
2059,Jagveer ,1,Boy,2021
2059,Jaha ,1,Boy,2021
2059,Jahaanvir,1,Boy,2021
2059,Jaheim ,1,Boy,2021
2059,Jahiel ,1,Boy,2021
2059,Jáhir ,1,Boy,2021
2059,Jahmari ,1,Boy,2021
2059,Jahmiko ,1,Boy,2021
2059,Jahray ,1,Boy,2021
2059,Jaibir ,1,Boy,2021
2059,Jaidus ,1,Boy,2021
2059,Jaiku ,1,Boy,2021
2059,Jaimal ,1,Boy,2021
2059,Jaime ,1,Boy,2021
2059,Jaimis ,1,Boy,2021
2059,Jaione ,1,Boy,2021
2059,Jaipal ,1,Boy,2021
2059,Jairdyn ,1,Boy,2021
2059,Jairus ,1,Boy,2021
2059,Jaivien ,1,Boy,2021
2059,Jaivik,1,Boy,2021
2059,Jaivir ,1,Boy,2021
2059,Jaiyeola ,1,Boy,2021
2059,Jakobe ,1,Boy,2021
2059,Jakobi ,1,Boy,2021
2059,Jakson ,1,Boy,2021
2059,Jakton,1,Boy,2021
2059,Jamen ,1,Boy,2021
2059,Jamerson ,1,Boy,2021
2059,Jamesen ,1,Boy,2021
2059,Jamil ,1,Boy,2021
2059,Jangbir,1,Boy,2021
2059,Janis ,1,Boy,2021
2059,Jann ,1,Boy,2021
2059,Jannick,1,Boy,2021
2059,Janrell ,1,Boy,2021
2059,Janrry ,1,Boy,2021
2059,Jansen ,1,Boy,2021
2059,Japhet ,1,Boy,2021
2059,Japmanjit,1,Boy,2021
2059,Jarad ,1,Boy,2021
2059,Jared-Reylie ,1,Boy,2021
2059,Jarik ,1,Boy,2021
2059,Jarin ,1,Boy,2021
2059,Jarnail ,1,Boy,2021
2059,Jaroslav,1,Boy,2021
2059,Jarrett ,1,Boy,2021
2059,Jarron ,1,Boy,2021
2059,Jarvis ,1,Boy,2021
2059,Jaryl ,1,Boy,2021
2059,Jaser ,1,Boy,2021
2059,Jashan ,1,Boy,2021
2059,Jaskirat ,1,Boy,2021
2059,Jasneet ,1,Boy,2021
2059,Jasoor,1,Boy,2021
2059,Jatin,1,Boy,2021
2059,Javan ,1,Boy,2021
2059,Javien ,1,Boy,2021
2059,Javier ,1,Boy,2021
2059,Javinpreet ,1,Boy,2021
2059,Javion ,1,Boy,2021
2059,Jaxon-Dezmond ,1,Boy,2021
2059,Jaxsen,1,Boy,2021
2059,Jaxston ,1,Boy,2021
2059,Jaxtin ,1,Boy,2021
2059,Jay-T ,1,Boy,2021
2059,Jaycen ,1,Boy,2021
2059,Jaydon ,1,Boy,2021
2059,Jaydyn ,1,Boy,2021
2059,Jayeen ,1,Boy,2021
2059,Jayin ,1,Boy,2021
2059,Jaymeer ,1,Boy,2021
2059,Jaymeson ,1,Boy,2021
2059,Jaymuel ,1,Boy,2021
2059,Jaynel,1,Boy,2021
2059,Jayri ,1,Boy,2021
2059,Jayron ,1,Boy,2021
2059,Jaysalbir ,1,Boy,2021
2059,Jayten ,1,Boy,2021
2059,Jayton ,1,Boy,2021
2059,Jayven ,1,Boy,2021
2059,Jayvon ,1,Boy,2021
2059,Jaziah ,1,Boy,2021
2059,Jaziel,1,Boy,2021
2059,Jdan ,1,Boy,2021
2059,Jeabe ,1,Boy,2021
2059,Jed ,1,Boy,2021
2059,Jedi ,1,Boy,2021
2059,Jedii ,1,Boy,2021
2059,Jedrix ,1,Boy,2021
2059,Jeeo ,1,Boy,2021
2059,Jeeshan,1,Boy,2021
2059,Jeevan ,1,Boy,2021
2059,Jeevat,1,Boy,2021
2059,Jeevyn ,1,Boy,2021
2059,Jeff ,1,Boy,2021
2059,Jehiel,1,Boy,2021
2059,Jehr ,1,Boy,2021
2059,Jeisset ,1,Boy,2021
2059,Jeizen ,1,Boy,2021
2059,Jenish ,1,Boy,2021
2059,Jennings ,1,Boy,2021
2059,Jenoah ,1,Boy,2021
2059,Jenston,1,Boy,2021
2059,Jensyn ,1,Boy,2021
2059,Jeona ,1,Boy,2021
2059,Jerard ,1,Boy,2021
2059,Jeraziah,1,Boy,2021
2059,Jerett ,1,Boy,2021
2059,Jeriah ,1,Boy,2021
2059,Jerlayle ,1,Boy,2021
2059,Jerricho ,1,Boy,2021
2059,Jerry ,1,Boy,2021
2059,Jerwin ,1,Boy,2021
2059,Jerzey ,1,Boy,2021
2059,Jerzy ,1,Boy,2021
2059,Jesaiah ,1,Boy,2021
2059,Jeshua,1,Boy,2021
2059,Jeshurun ,1,Boy,2021
2059,Jesi ,1,Boy,2021
2059,Jesiahh-Prince,1,Boy,2021
2059,Jess,1,Boy,2021
2059,Jesse-Jake ,1,Boy,2021
2059,Jesse-James ,1,Boy,2021
2059,Jessie ,1,Boy,2021
2059,Jevick ,1,Boy,2021
2059,Jezrahiah ,1,Boy,2021
2059,Jhaeyden ,1,Boy,2021
2059,Jharrel ,1,Boy,2021
2059,Jhayred ,1,Boy,2021
2059,Jhelum ,1,Boy,2021
2059,Jheyden ,1,Boy,2021
2059,Jia ,1,Boy,2021
2059,Jiaan,1,Boy,2021
2059,Jiam ,1,Boy,2021
2059,Jibran ,1,Boy,2021
2059,Jibril ,1,Boy,2021
2059,Jihaan,1,Boy,2021
2059,Jihan ,1,Boy,2021
2059,Jihann ,1,Boy,2021
2059,Jiho,1,Boy,2021
2059,Jim-Ethan ,1,Boy,2021
2059,Jimell ,1,Boy,2021
2059,Jinay ,1,Boy,2021
2059,Jinno,1,Boy,2021
2059,Jiren ,1,Boy,2021
2059,Jivan,1,Boy,2021
2059,Jiyaan ,1,Boy,2021
2059,Joah ,1,Boy,2021
2059,Joaquin-Philip ,1,Boy,2021
2059,Joaquine ,1,Boy,2021
2059,Joash,1,Boy,2021
2059,Jobanjot ,1,Boy,2021
2059,Jochev ,1,Boy,2021
2059,Jocko ,1,Boy,2021
2059,Jodell ,1,Boy,2021
2059,Jodhvir ,1,Boy,2021
2059,Jodyci ,1,Boy,2021
2059,Joel-Samuel ,1,Boy,2021
2059,Joelson ,1,Boy,2021
2059,Johan-Bernard ,1,Boy,2021
2059,Johanis ,1,Boy,2021
2059,Johari,1,Boy,2021
2059,John-Luke ,1,Boy,2021
2059,John-Payton ,1,Boy,2021
2059,Johna ,1,Boy,2021
2059,Johnathon ,1,Boy,2021
2059,Jok ,1,Boy,2021
2059,Jolaoluwa ,1,Boy,2021
2059,Jomel ,1,Boy,2021
2059,Jon ,1,Boy,2021
2059,Jon-Ezra,1,Boy,2021
2059,Jonaiha ,1,Boy,2021
2059,Jonam,1,Boy,2021
2059,Jonan ,1,Boy,2021
2059,Jonelle ,1,Boy,2021
2059,Jonny ,1,Boy,2021
2059,Jora ,1,Boy,2021
2059,Jorah ,1,Boy,2021
2059,Joram ,1,Boy,2021
2059,Joravar ,1,Boy,2021
2059,Jorby,1,Boy,2021
2059,Jorge ,1,Boy,2021
2059,Jorie ,1,Boy,2021
2059,Jorik ,1,Boy,2021
2059,Joriyan ,1,Boy,2021
2059,Jory ,1,Boy,2021
2059,Joseus ,1,Boy,2021
2059,Josh-Peniel ,1,Boy,2021
2059,Joshua-Martyn ,1,Boy,2021
2059,Josue ,1,Boy,2021
2059,Josue-Lael ,1,Boy,2021
2059,Jothais ,1,Boy,2021
2059,Jotinder ,1,Boy,2021
2059,Jovanbir ,1,Boy,2021
2059,Jovani ,1,Boy,2021
2059,Jovin ,1,Boy,2021
2059,Joyner ,1,Boy,2021
2059,Jozsef,1,Boy,2021
2059,Jozuah ,1,Boy,2021
2059,Jrue ,1,Boy,2021
2059,Js ,1,Boy,2021
2059,Juan-Luis ,1,Boy,2021
2059,Juaquin ,1,Boy,2021
2059,Jubran,1,Boy,2021
2059,Judd ,1,Boy,2021
2059,Judiah ,1,Boy,2021
2059,Judis ,1,Boy,2021
2059,Juhith ,1,Boy,2021
2059,Jukka ,1,Boy,2021
2059,Julen,1,Boy,2021
2059,Jules ,1,Boy,2021
2059,Julia ,1,Boy,2021
2059,Julian-Andrew ,1,Boy,2021
2059,Julius-Robert ,1,Boy,2021
2059,Jungkook,1,Boy,2021
2059,Juntong,1,Boy,2021
2059,Junxi,1,Boy,2021
2059,Jurij,1,Boy,2021
2059,Justiss ,1,Boy,2021
2059,Juswin,1,Boy,2021
2059,Juwan ,1,Boy,2021
2059,Juzar ,1,Boy,2021
2059,Jyotinder ,1,Boy,2021
2059,Jyreh ,1,Boy,2021
2059,Kaai ,1,Boy,2021
2059,Kaaviyan,1,Boy,2021
2059,Kabhier ,1,Boy,2021
2059,Kabiel ,1,Boy,2021
2059,Kabura,1,Boy,2021
2059,Kache ,1,Boy,2021
2059,Kacy ,1,Boy,2021
2059,Kadie,1,Boy,2021
2059,Kaedyn,1,Boy,2021
2059,Kael ,1,Boy,2021
2059,Kaelix ,1,Boy,2021
2059,Kaelo ,1,Boy,2021
2059,Kaeo ,1,Boy,2021
2059,Kaestyn ,1,Boy,2021
2059,Kaeto ,1,Boy,2021
2059,Kahaan,1,Boy,2021
2059,Kai'Von ,1,Boy,2021
2059,Kaian,1,Boy,2021
2059,Kaidence ,1,Boy,2021
2059,Kaider ,1,Boy,2021
2059,Kaidrian ,1,Boy,2021
2059,Kailow ,1,Boy,2021
2059,Kailum ,1,Boy,2021
2059,Kainan ,1,Boy,2021
2059,Kaine ,1,Boy,2021
2059,Kaion ,1,Boy,2021
2059,Kairi ,1,Boy,2021
2059,Kairie ,1,Boy,2021
2059,Kairos ,1,Boy,2021
2059,Kais ,1,Boy,2021
2059,Kaisaac ,1,Boy,2021
2059,Kaisen ,1,Boy,2021
2059,Kaisius ,1,Boy,2021
2059,Kaisson ,1,Boy,2021
2059,Kaisy,1,Boy,2021
2059,Kaito ,1,Boy,2021
2059,Kaiyam ,1,Boy,2021
2059,Kaiyan ,1,Boy,2021
2059,Kaiyel ,1,Boy,2021
2059,Kaizah ,1,Boy,2021
2059,Kaizdon ,1,Boy,2021
2059,Kaizelyn ,1,Boy,2021
2059,Kaizer ,1,Boy,2021
2059,Kaji ,1,Boy,2021
2059,Kal-El ,1,Boy,2021
2059,Kaladin ,1,Boy,2021
2059,Kale ,1,Boy,2021
2059,Kaleab,1,Boy,2021
2059,Kalel ,1,Boy,2021
2059,Kalel-Ernest ,1,Boy,2021
2059,Kalem ,1,Boy,2021
2059,Kalen ,1,Boy,2021
2059,Kalib ,1,Boy,2021
2059,Kalid ,1,Boy,2021
2059,Kalieb ,1,Boy,2021
2059,Kalif ,1,Boy,2021
2059,Kallan ,1,Boy,2021
2059,Kally ,1,Boy,2021
2059,Kalonji ,1,Boy,2021
2059,Kalpajit,1,Boy,2021
2059,Kalsin ,1,Boy,2021
2059,Kamal ,1,Boy,2021
2059,Kamdyn ,1,Boy,2021
2059,Kameron ,1,Boy,2021
2059,Kamfechi ,1,Boy,2021
2059,Kamon ,1,Boy,2021
2059,Kampbell ,1,Boy,2021
2059,Kamsiyochukwu ,1,Boy,2021
2059,Kana'Aan,1,Boy,2021
2059,Kanen ,1,Boy,2021
2059,Kano ,1,Boy,2021
2059,Kapanen ,1,Boy,2021
2059,Karamoko ,1,Boy,2021
2059,Karanbir ,1,Boy,2021
2059,Karanvir ,1,Boy,2021
2059,Kareem.M,1,Boy,2021
2059,Karlisle ,1,Boy,2021
2059,Karm ,1,Boy,2021
2059,Karmajit,1,Boy,2021
2059,Karman ,1,Boy,2021
2059,Karmanbir,1,Boy,2021
2059,Karmanjot ,1,Boy,2021
2059,Karn ,1,Boy,2021
2059,Karri ,1,Boy,2021
2059,Karron,1,Boy,2021
2059,Karsten ,1,Boy,2021
2059,Kartaar ,1,Boy,2021
2059,Kartar,1,Boy,2021
2059,Karun ,1,Boy,2021
2059,Karvjot,1,Boy,2021
2059,Karwyn ,1,Boy,2021
2059,Karyus ,1,Boy,2021
2059,Kasey ,1,Boy,2021
2059,Kashis ,1,Boy,2021
2059,Kashtyn ,1,Boy,2021
2059,Kasiam ,1,Boy,2021
2059,Kasim ,1,Boy,2021
2059,Kasindi ,1,Boy,2021
2059,Kasius ,1,Boy,2021
2059,Kaskitew-Maskwa ,1,Boy,2021
2059,Kaspan ,1,Boy,2021
2059,Kaspar,1,Boy,2021
2059,Kaspyr ,1,Boy,2021
2059,Kasra ,1,Boy,2021
2059,Kassius ,1,Boy,2021
2059,Kassivan ,1,Boy,2021
2059,Kasspinn,1,Boy,2021
2059,Kasyan ,1,Boy,2021
2059,Katori ,1,Boy,2021
2059,Kavi,1,Boy,2021
2059,Kavinash,1,Boy,2021
2059,Kavish,1,Boy,2021
2059,Kavon ,1,Boy,2021
2059,Kaw-Liga ,1,Boy,2021
2059,Kawthoolei ,1,Boy,2021
2059,Kay ,1,Boy,2021
2059,Kaya,1,Boy,2021
2059,Kayd ,1,Boy,2021
2059,Kaydenn ,1,Boy,2021
2059,Kayer ,1,Boy,2021
2059,Kaylem ,1,Boy,2021
2059,Kaylum ,1,Boy,2021
2059,Kayne ,1,Boy,2021
2059,Kaynen ,1,Boy,2021
2059,Kaynin ,1,Boy,2021
2059,Kayo ,1,Boy,2021
2059,Kaysan ,1,Boy,2021
2059,Kayser ,1,Boy,2021
2059,Kayvl ,1,Boy,2021
2059,Kaz ,1,Boy,2021
2059,Kazamir ,1,Boy,2021
2059,Kaziah ,1,Boy,2021
2059,Kazzus ,1,Boy,2021
2059,Kc ,1,Boy,2021
2059,Kdus,1,Boy,2021
2059,Kealan ,1,Boy,2021
2059,Keann ,1,Boy,2021
2059,Keaston ,1,Boy,2021
2059,Keddy ,1,Boy,2021
2059,Keduse,1,Boy,2021
2059,Keean ,1,Boy,2021
2059,Keelen ,1,Boy,2021
2059,Keev,1,Boy,2021
2059,Kegan ,1,Boy,2021
2059,Kehaar ,1,Boy,2021
2059,Kehar ,1,Boy,2021
2059,Kehbila ,1,Boy,2021
2059,Kehiw ,1,Boy,2021
2059,Keiden ,1,Boy,2021
2059,Keiji ,1,Boy,2021
2059,Keiran ,1,Boy,2021
2059,Keithan ,1,Boy,2021
2059,Keithen,1,Boy,2021
2059,Keius ,1,Boy,2021
2059,Keizer ,1,Boy,2021
2059,Kelani ,1,Boy,2021
2059,Kelby ,1,Boy,2021
2059,Kellen ,1,Boy,2021
2059,Keller ,1,Boy,2021
2059,Kelly ,1,Boy,2021
2059,Kelvy,1,Boy,2021
2059,Kelz ,1,Boy,2021
2059,Kemari ,1,Boy,2021
2059,Kembinichukwu ,1,Boy,2021
2059,Kenah ,1,Boy,2021
2059,Kenakeri,1,Boy,2021
2059,Kenard ,1,Boy,2021
2059,Kendall ,1,Boy,2021
2059,Kendrex ,1,Boy,2021
2059,Kenechi ,1,Boy,2021
2059,Kenett ,1,Boy,2021
2059,Kenil,1,Boy,2021
2059,Kennon ,1,Boy,2021
2059,Kensen ,1,Boy,2021
2059,Kenstan ,1,Boy,2021
2059,Kento,1,Boy,2021
2059,Keon,1,Boy,2021
2059,Keowa ,1,Boy,2021
2059,Keplen ,1,Boy,2021
2059,Kepler ,1,Boy,2021
2059,Kesan ,1,Boy,2021
2059,Keshawn ,1,Boy,2021
2059,Keston ,1,Boy,2021
2059,Kestrel ,1,Boy,2021
2059,Kevees ,1,Boy,2021
2059,Keyansh,1,Boy,2021
2059,Keylan ,1,Boy,2021
2059,Keylon ,1,Boy,2021
2059,Kezai ,1,Boy,2021
2059,Kezden ,1,Boy,2021
2059,Kezlyn ,1,Boy,2021
2059,Khadar,1,Boy,2021
2059,Khadir ,1,Boy,2021
2059,Khaed ,1,Boy,2021
2059,Khael,1,Boy,2021
2059,Khairon ,1,Boy,2021
2059,Khal ,1,Boy,2021
2059,Khalel ,1,Boy,2021
2059,Khaleo ,1,Boy,2021
2059,Khaleyo ,1,Boy,2021
2059,Khalieeson,1,Boy,2021
2059,Khaos ,1,Boy,2021
2059,Khaumaine ,1,Boy,2021
